"Item Name","Item Description","Department Name","Custom Field 3","Vendor Name","Custom Field 1","Regular Price","MSRP","Attribute","Custom Field 2","Size","Qty 1","On Order Qty","Custom Field 4","Custom Field 5","END","Silver & Gold "
"PV20152W-CL-G","PV20152W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20152W-CL","PV20152W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20151WSG-CT","PV20151WSG-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-W-CL-G","PV20150W-W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-CL","PV20150W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-BLK-CL","PV20150W-BLK-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20141-CL-CT","PV20141-CL-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20119W","PV20119W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20103W","PV20103W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20066W-CL","PV20066W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20048W","PV20048W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20043W-CL","PV20043W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20039W-CL","PV20039W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20038W-CL","PV20038W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20036W-CL-G","PV20036W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20036W-CL","PV20036W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20035W-CL","PV20035W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20008W-CL-CT","PV20008W-CL-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20007W-W-CL","PV20007W-W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20002W-CL","PV20002W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20001W-CL-G","PV20001W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20001W-CL","PV20001W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"P10113W-CL","P10113W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV101164-W-G","PV101164-W-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV20356W-CL","PV20356W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV15794W-CL","PV15794W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10549W-CL","PV10549W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10488W-CL","PV10488W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10453W","PV10453W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10430W","PV10430W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10427W","PV10427W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10426W","PV10426W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10399-CL","PV10399-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10395W-CL","PV10395W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10387W-CL","PV10387W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10383W-CL","PV10383W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10382W-CL","PV10382W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10381W-CL","PV10381W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10379W","PV10379W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10378-W","PV10378-W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10377WS-CL","PV10377WS-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10377W-CL","PV10377W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV10376W","PV10376W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10372W-CL","PV10372W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10370W","PV10370W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10362W","PV10362W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10361W-CL","PV10361W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV10347W-CL","PV10347W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10344W","PV10344W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10342W-CL","PV10342W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10341W","PV10341W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10340W","PV10340W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10338W","PV10338W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10337W-CL","PV10337W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10335W-CL","PV10335W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10333W","PV10333W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10332W","PV10332W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10331W","PV10331W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10328W","PV10328W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10327W-CT","PV10327W-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV10327W-CL","PV10327W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10324W","PV10324W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10318W","PV10318W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10315W-CL","PV10315W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10314W","PV10314W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10313W","PV10313W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10139W-CL","PV10139W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10132W-BLK","PV10132W-BLK","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10146W-CL","PV10146W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10165W-RH","PV10165W-RH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10166W-RH","PV10166W-RH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10207W-CL","PV10207W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10194W-CL","PV10194W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10210W-CL","PV10210W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV10219W-CL","PV10219W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10237W-CL","PV10237W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10241W-CL","PV10241W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10248W-CL","PV10248W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10242W-CL","PV10242W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10251W","PV10251W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10268W-CL","PV10268W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10270W-CL","PV10270W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10269W-CL","PV10269W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10271W-CL","PV10271W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10278W-CL","PV10278W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10280W","PV10280W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10288W-CL","PV10288W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10289W-CL","PV10289W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10295W-CL","PV10295W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10296W-CL","PV10296W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10303-BRH","PV10303-BRH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10307W","PV10307W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10308W","PV10308W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10309W","PV10309W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10310W-CL","PV10310W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10311W","PV10311W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10154W-CL","PV10154W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10182-2T","PV10182-2T","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10200W-CL","PV10200W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10210W","PV10210W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10259W","PV10259W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10235W-CL","PV10235W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10297W-CL","PV10297W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10182W-CL","PV10182W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10270WS-CL","PV10270WS-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10168W-RH","PV10168W-RH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
