Item Name,Item Description,Department Name,Custom Field 3,Vendor Name,Custom Field 1,Regular Price,MSRP,Attribute,Custom Field 2,Size,Qty 1,On Order Qty,Custom Field 4,Custom Field 5,END
PV20429W-CL,PV20429W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20407W-CL,PV20407W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20394W-CL,PV20394W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20386W,PV20386W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20378W,PV20378W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20356W-CL,PV20356W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20337W-CL,PV20337W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20335W-CL,PV20335W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20332W,PV20332W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20331W-CL,PV20331W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20311W-CL,PV20311W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20296W-CL,PV20296W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20295W-CL,PV20295W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20286W-CL,PV20286W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20234W-CL,PV20234W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20224W,PV20224W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20222W-CL-G,PV20222W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20222W-CL,PV20222W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20216W-BLK,PV20216W-BLK,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20208WS-CL,PV20208WS-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20208W-CL,PV20208W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20196W-CL,PV20196W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20195W-CL,PV20195W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20193W-CL-BLK,PV20193W-CL-BLK,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20193W-CL,PV20193W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20183W-CL-G,PV20183W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20183WS-CL,PV20183WS-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20152W-CL-G,PV20152W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20152W-CL,PV20152W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20151WSG-CT,PV20151WSG-CT,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20150W-W-CL-G,PV20150W-W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20150W-CL,PV20150W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20150W-BLK-CL,PV20150W-BLK-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20141-CL-CT,PV20141-CL-CT,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20119W,PV20119W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20103W,PV20103W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20066W-CL,PV20066W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20048W,PV20048W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20043W-CL,PV20043W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20039W-CL,PV20039W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20038W-CL,PV20038W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20036W-CL-G,PV20036W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20036W-CL,PV20036W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20035W-CL,PV20035W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20008W-CL-CT,PV20008W-CL-CT,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20007W-W-CL,PV20007W-W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20002W-CL,PV20002W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
PV20001W-CL-G,PV20001W-CL-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Earrings,1,2,4,,,
PV20001W-CL,PV20001W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Earrings,1,2,4,,,
P10113W-CL,P10113W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV101164-W-G,PV101164-W-G,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Rings,1,2,4,,,
PV20356W-CL,PV20356W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV15794W-CL,PV15794W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10549W-CL,PV10549W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10488W-CL,PV10488W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10453W,PV10453W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10430W,PV10430W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10427W,PV10427W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10426W,PV10426W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10399-CL,PV10399-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10395W-CL,PV10395W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10387W-CL,PV10387W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10383W-CL,PV10383W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10382W-CL,PV10382W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10381W-CL,PV10381W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10379W,PV10379W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10378-W,PV10378-W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10377WS-CL,PV10377WS-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10377W-CL,PV10377W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Rings,1,2,4,,,
PV10376W,PV10376W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10372W-CL,PV10372W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10370W,PV10370W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10362W,PV10362W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10361W-CL,PV10361W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Rings,1,2,4,,,
PV10347W-CL,PV10347W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10344W,PV10344W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10342W-CL,PV10342W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10341W,PV10341W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10340W,PV10340W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10338W,PV10338W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10337W-CL,PV10337W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10335W-CL,PV10335W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10333W,PV10333W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10332W,PV10332W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10331W,PV10331W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10328W,PV10328W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10327W-CT,PV10327W-CT,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Rings,1,2,4,,,
PV10327W-CL,PV10327W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10324W,PV10324W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10318W,PV10318W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10315W-CL,PV10315W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10314W,PV10314W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10313W,PV10313W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10139W-CL,PV10139W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10132W-BLK,PV10132W-BLK,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10146W-CL,PV10146W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10165W-RH,PV10165W-RH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10166W-RH,PV10166W-RH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10207W-CL,PV10207W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10194W-CL,PV10194W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10210W-CL,PV10210W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Rings,1,2,4,,,
PV10219W-CL,PV10219W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10237W-CL,PV10237W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10241W-CL,PV10241W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10248W-CL,PV10248W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10242W-CL,PV10242W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10251W,PV10251W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10268W-CL,PV10268W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10270W-CL,PV10270W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10269W-CL,PV10269W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10271W-CL,PV10271W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10278W-CL,PV10278W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10280W,PV10280W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10288W-CL,PV10288W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10289W-CL,PV10289W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10295W-CL,PV10295W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10296W-CL,PV10296W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10303-BRH,PV10303-BRH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10307W,PV10307W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10308W,PV10308W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10309W,PV10309W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10310W-CL,PV10310W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10311W,PV10311W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10154W-CL,PV10154W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10182-2T,PV10182-2T,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10200W-CL,PV10200W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10210W,PV10210W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10259W,PV10259W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10235W-CL,PV10235W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10297W-CL,PV10297W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10182W-CL,PV10182W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10270WS-CL,PV10270WS-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10168W-RH,PV10168W-RH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10167W-RH,PV10167W-RH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10164W-RH,PV10164W-RH,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10164-W,PV10164-W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10159W-CL,PV10159W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10155W-CL,PV10155W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10149W-CL,PV10149W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10144W-CL,PV10144W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10143W-CL,PV10143W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10142W-CL,PV10142W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10140W-CL,PV10140W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10137W-CL,PV10137W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10135W,PV10135W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10133W,PV10133W,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10125W-CL,PV10125W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10124W-CL,PV10124W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10121W-CL,PV10121W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10118W-CL,PV10118W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10116W-CL,PV10116W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10115W-CL,PV10115W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10111W-CL,PV10111W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10110W-CL,PV10110W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10109W-CL,PV10109W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10101W-CL,PV10101W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10064-CL,PV10064-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10047W-CL,PV10047W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10045W-CL,PV10045W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10044W-CL,PV10044W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10020W-CL,PV10020W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10002W-CL,PV10002W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Rings,1,2,4,,,
PV10002W-CL,PV10002W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,gold.metal,Necklaces,1,2,4,,,
PV30036-CL-BLK,PV30036-CL-BLK,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Necklaces,1,2,4,,,
PV30075W-CL,PV30075W-CL,Diamonever,Jewelry and Accessories,System,1/19/2011,0,0,sterling.silver,Necklaces,1,2,4,,,
